3-gram, count
father much offended, 2
to you that, 2
sit you down, 2
what wilt thou, 2
wilt thou do, 2
nay i know, 2
as kill a, 2
kill a king, 2
and let me, 2
your heart for, 2
be made of, 2
what have i, 2
have you eyes, 2
and as the, 2
bring me to, 2
for love of, 2
that i must, 2
him for a, 2
a pair of, 2
let him know, 2
and like the, 2
seal d and, 2
is full of, 2
where is he, 2
hath kill d, 2
and from his, 2
go seek him, 2
tell us where, 2
the body is, 2
the king is, 2
i have sent, 2
and where tis, 2
that s the, 2
every thing is, 2
you know the, 2
should it be, 2
thank you sir, 2
horatio and a, 2
let her come, 2
her come in, 2
pray you mark, 2
is dead and, 2
dead and gone, 2
i thank you, 2
good night sweet, 2
is the poison, 2
of his own, 2
what noise is, 2
noise is this, 2
laertes shall be, 2
shall be king, 2
where is this, 2
let him go, 2
him go gertrude, 2
gertrude do not, 2
do not fear, 2
how came he, 2
man s life, 2
it could not, 2
a down a, 2
it is the, 2
that s for, 2
for you and, 2
and will he, 2
will he not, 2
he not come, 2
not come again, 2
he is gone, 2
that we can, 2
they have letters, 2
have letters for, 2
to him from, 2
and you must, 2
and that i, 2
to the queen, 2
and in a, 2
that i shall, 2
if he be, 2
and that he, 2
it i will, 2
he shall not, 2
and for his, 2
might be the, 2
that my lord, 2
of what he, 2
out of this, 2
we ll put, 2
if this should, 2
to do to, 2
to be buried, 2
be buried in, 2
i tell thee, 2
it must be, 2
here lies the, 2
what is he, 2
builds stronger than, 2
in good faith, 2
does well to, 2
i cannot tell, 2
might it not, 2
such a one, 2
no more the, 2
o a pit, 2
a pit of, 2
pit of clay, 2
of clay for, 2
clay for to, 2
for to be, 2
to be made, 2
for such a, 2
such a guest, 2
a guest is, 2
guest is meet, 2
not a jot, 2
lie in t, 2
in t and, 2
tis for the, 2
sent into england, 2
will last you, 2
of most excellent, 2
and with such, 2
what ceremony else, 2
no more be, 2
more be done, 2
leaps into the, 2
into the grave, 2
is no matter, 2
an hour of, 2
to mine own, 2
that on the, 2
does it not, 2
if your lordship, 2
is very sultry, 2
my lord his, 2
are not ignorant, 2
i dare not, 2
king sir hath, 2
not to come, 2
it be not, 2
give me the, 2
the drink the, 2
drink the drink, 2
i am dead, 2
from his mouth, 2
the tragedy of, 1
tragedy of hamlet, 1
of hamlet prince, 1
hamlet prince of, 1
prince of denmark, 1
shakespeare homepage hamlet, 1
homepage hamlet entire, 1
hamlet entire play, 1
scene i elsinore, 1
i elsinore a, 1
elsinore a platform, 1
a platform before, 1
platform before the, 1
before the castle, 1
francisco at his, 1
at his post, 1
his post enter, 1
post enter to, 1
enter to him, 1
to him bernardo, 1
nay answer me, 1
answer me stand, 1
me stand and, 1
stand and unfold, 1
and unfold yourself, 1
long live the, 1
live the king, 1
you come most, 1
come most carefully, 1
most carefully upon, 1
carefully upon your, 1
upon your hour, 1
tis now struck, 1
now struck twelve, 1
struck twelve get, 1
twelve get thee, 1
thee to bed, 1
to bed francisco, 1
for this relief, 1
this relief much, 1
relief much thanks, 1
much thanks tis, 1
thanks tis bitter, 1
tis bitter cold, 1
and i am, 1
i am sick, 1
am sick at, 1
sick at heart, 1
have you had, 1
you had quiet, 1
had quiet guard, 1
not a mouse, 1
a mouse stirring, 1
well good night, 1
if you do, 1
you do meet, 1
do meet horatio, 1
meet horatio and, 1
the rivals of, 1
rivals of my, 1
of my watch, 1
my watch bid, 1
watch bid them, 1
bid them make, 1
them make haste, 1
think i hear, 1
i hear them, 1
hear them stand, 1
them stand ho, 1
stand ho who, 1
ho who s, 1
friends to this, 1
to this ground, 1
and liegemen to, 1
liegemen to the, 1
o farewell honest, 1
farewell honest soldier, 1
who hath relieved, 1
hath relieved you, 1
bernardo has my, 1
has my place, 1
what is horatio, 1
is horatio there, 1
piece of him, 1
welcome horatio welcome, 1
horatio welcome good, 1
welcome good marcellus, 1
what has this, 1
has this thing, 1
this thing appear, 1
thing appear d, 1
appear d again, 1
d again to, 1
again to night, 1
have seen nothing, 1
horatio says tis, 1
says tis but, 1
tis but our, 1
but our fantasy, 1
will not let, 1
not let belief, 1
let belief take, 1
belief take hold, 1
take hold of, 1
hold of him, 1
touching this dreaded, 1
this dreaded sight, 1
dreaded sight twice, 1
sight twice seen, 1
twice seen of, 1
seen of us, 1
therefore i have, 1
i have entreated, 1
have entreated him, 1
entreated him along, 1
us to watch, 1
to watch the, 1
watch the minutes, 1
the minutes of, 1
minutes of this, 1
of this night, 1
that if again, 1
if again this, 1
again this apparition, 1
this apparition come, 1
he may approve, 1
may approve our, 1
approve our eyes, 1
our eyes and, 1
eyes and speak, 1
and speak to, 1
tush tush twill, 1
tush twill not, 1
twill not appear, 1
sit down awhile, 1
let us once, 1
us once again, 1
once again assail, 1
again assail your, 1
assail your ears, 1
that are so, 1
are so fortified, 1
so fortified against, 1
fortified against our, 1
against our story, 1
we have two, 1
have two nights, 1
two nights seen, 1
well sit we, 1
sit we down, 1
let us hear, 1
us hear bernardo, 1
hear bernardo speak, 1
bernardo speak of, 1
last night of, 1
night of all, 1
when yond same, 1
yond same star, 1
same star that, 1
star that s, 1
that s westward, 1
s westward from, 1
westward from the, 1
from the pole, 1
had made his, 1
made his course, 1
his course to, 1
course to illume, 1
to illume that, 1
illume that part, 1
that part of, 1
part of heaven, 1
where now it, 1
now it burns, 1
it burns marcellus, 1
burns marcellus and, 1
marcellus and myself, 1
the bell then, 1
bell then beating, 1
then beating one, 1
peace break thee, 1
break thee off, 1
thee off look, 1
off look where, 1
look where it, 1
in the same, 1
the same figure, 1
same figure like, 1
figure like the, 1
the king that, 1
king that s, 1
that s dead, 1
thou art a, 1
art a scholar, 1
a scholar speak, 1
scholar speak to, 1
to it horatio, 1
looks it not, 1
the king mark, 1
king mark it, 1
mark it horatio, 1
like it harrows, 1
it harrows me, 1
harrows me with, 1
me with fear, 1
with fear and, 1
fear and wonder, 1
it would be, 1
would be spoke, 1
be spoke to, 1
question it horatio, 1
what art thou, 1
art thou that, 1
thou that usurp, 1
that usurp st, 1
usurp st this, 1
st this time, 1
together with that, 1
with that fair, 1
that fair and, 1
fair and warlike, 1
and warlike form, 1
in which the, 1
which the majesty, 1
the majesty of, 1
majesty of buried, 1
of buried denmark, 1
did sometimes march, 1
sometimes march by, 1
march by heaven, 1
heaven i charge, 1
it is offended, 1
see it stalks, 1
it stalks away, 1
stay speak speak, 1
speak speak i, 1
speak i charge, 1
tis gone and, 1
gone and will, 1
will not answer, 1
how now horatio, 1
now horatio you, 1
horatio you tremble, 1
you tremble and, 1
tremble and look, 1
and look pale, 1
is not this, 1
not this something, 1
this something more, 1
something more than, 1
more than fantasy, 1
before my god, 1
my god i, 1
god i might, 1
might not this, 1
not this believe, 1
without the sensible, 1
the sensible and, 1
sensible and true, 1
and true avouch, 1
of mine own, 1
mine own eyes, 1
as thou art, 1
thou art to, 1
art to thyself, 1
such was the, 1
the very armour, 1
very armour he, 1
armour he had, 1
he had on, 1
when he the, 1
he the ambitious, 1
the ambitious norway, 1
ambitious norway combated, 1
so frown d, 1
frown d he, 1
d he once, 1
he once when, 1
once when in, 1
when in an, 1
in an angry, 1
an angry parle, 1
he smote the, 1
smote the sledded, 1
the sledded polacks, 1
sledded polacks on, 1
polacks on the, 1
on the ice, 1
thus twice before, 1
twice before and, 1
before and jump, 1
and jump at, 1
jump at this, 1
at this dead, 1
this dead hour, 1
with martial stalk, 1
martial stalk hath, 1
stalk hath he, 1
hath he gone, 1
he gone by, 1
gone by our, 1
by our watch, 1
in what particular, 1
what particular thought, 1
particular thought to, 1
thought to work, 1
to work i, 1
work i know, 1
in the gross, 1
the gross and, 1
gross and scope, 1
and scope of, 1
scope of my, 1
of my opinion, 1
this bodes some, 1
bodes some strange, 1
some strange eruption, 1
strange eruption to, 1
eruption to our, 1
to our state, 1
good now sit, 1
now sit down, 1
sit down and, 1
down and tell, 1
and tell me, 1
tell me he, 1
me he that, 1
he that knows, 1
why this same, 1
this same strict, 1
same strict and, 1
strict and most, 1
and most observant, 1
most observant watch, 1
so nightly toils, 1
nightly toils the, 1
toils the subject, 1
the subject of, 1
subject of the, 1
of the land, 1
and why such, 1
why such daily, 1
such daily cast, 1
daily cast of, 1
cast of brazen, 1
of brazen cannon, 1
and foreign mart, 1
foreign mart for, 1
mart for implements, 1
for implements of, 1
implements of war, 1
why such impress, 1
such impress of, 1
impress of shipwrights, 1
of shipwrights whose, 1
shipwrights whose sore, 1
whose sore task, 1
does not divide, 1
not divide the, 1
divide the sunday, 1
the sunday from, 1
sunday from the, 1
from the week, 1
what might be, 1
might be toward, 1
be toward that, 1
toward that this, 1
that this sweaty, 1
this sweaty haste, 1
doth make the, 1
make the night, 1
the night joint, 1
night joint labourer, 1
joint labourer with, 1
labourer with the, 1
with the day, 1
who is t, 1
is t that, 1
t that can, 1
that can inform, 1
can inform me, 1
that can i, 1
at least the, 1
least the whisper, 1
the whisper goes, 1
whisper goes so, 1
goes so our, 1
so our last, 1
whose image even, 1
image even but, 1
even but now, 1
but now appear, 1
now appear d, 1
appear d to, 1
d to us, 1
was as you, 1
as you know, 1
you know by, 1
know by fortinbras, 1
by fortinbras of, 1
fortinbras of norway, 1
thereto prick d, 1
prick d on, 1
d on by, 1
on by a, 1
by a most, 1
a most emulate, 1
most emulate pride, 1
dared to the, 1
to the combat, 1
the combat in, 1
combat in which, 1
in which our, 1
which our valiant, 1
our valiant hamlet, 1
for so this, 1
so this side, 1
this side of, 1
side of our, 1
of our known, 1
our known world, 1
known world esteem, 1
world esteem d, 1
esteem d him, 1
did slay this, 1
slay this fortinbras, 1
this fortinbras who, 1
fortinbras who by, 1
who by a, 1
by a seal, 1
a seal d, 1
seal d compact, 1
well ratified by, 1
ratified by law, 1
by law and, 1
law and heraldry, 1
did forfeit with, 1
forfeit with his, 1
with his life, 1
his life all, 1
life all those, 1
all those his, 1
those his lands, 1
which he stood, 1
he stood seized, 1
stood seized of, 1
seized of to, 1
of to the, 1
to the conqueror, 1
the which a, 1
which a moiety, 1
a moiety competent, 1
was gaged by, 1
gaged by our, 1
by our king, 1
our king which, 1
king which had, 1
which had return, 1
had return d, 1
to the inheritance, 1
the inheritance of, 1
inheritance of fortinbras, 1
he been vanquisher, 1
been vanquisher as, 1
vanquisher as by, 1
as by the, 1
by the same, 1
the same covenant, 1
and carriage of, 1
carriage of the, 1
of the article, 1
the article design, 1
article design d, 1
his fell to, 1
fell to hamlet, 1
to hamlet now, 1
hamlet now sir, 1
now sir young, 1
sir young fortinbras, 1
of unimproved mettle, 1
unimproved mettle hot, 1
mettle hot and, 1
hot and full, 1
hath in the, 1
in the skirts, 1
the skirts of, 1
skirts of norway, 1
of norway here, 1
norway here and, 1
here and there, 1
shark d up, 1
d up a, 1
up a list, 1
a list of, 1
list of lawless, 1
of lawless resolutes, 1
for food and, 1
food and diet, 1
and diet to, 1
diet to some, 1
to some enterprise, 1
that hath a, 1
hath a stomach, 1
a stomach in, 1
stomach in t, 1
in t which, 1
t which is, 1
as it doth, 1
it doth well, 1
doth well appear, 1
well appear unto, 1
appear unto our, 1
unto our state, 1
but to recover, 1
to recover of, 1
recover of us, 1
of us by, 1
us by strong, 1
by strong hand, 1
and terms compulsatory, 1
terms compulsatory those, 1
compulsatory those foresaid, 1
those foresaid lands, 1
so by his, 1
his father lost, 1
father lost and, 1
lost and this, 1
and this i, 1
this i take, 1
i take it, 1
is the main, 1
the main motive, 1
main motive of, 1
motive of our, 1
of our preparations, 1
the source of, 1
source of this, 1
of this our, 1
this our watch, 1
our watch and, 1
watch and the, 1
and the chief, 1
the chief head, 1
of this post, 1
this post haste, 1
post haste and, 1
haste and romage, 1
and romage in, 1
romage in the, 1
in the land, 1
it be no, 1
be no other, 1
other but e, 1
but e en, 1
well may it, 1
may it sort, 1
it sort that, 1
sort that this, 1
that this portentous, 1
this portentous figure, 1
comes armed through, 1
armed through our, 1
through our watch, 1
our watch so, 1
watch so like, 1
so like the, 1
that was and, 1
and is the, 1
question of these, 1
of these wars, 1
a mote it, 1
mote it is, 1
is to trouble, 1
to trouble the, 1
trouble the mind, 1
the mind s, 1
in the most, 1
the most high, 1
most high and, 1
high and palmy, 1
and palmy state, 1
palmy state of, 1
state of rome, 1
a little ere, 1
little ere the, 1
ere the mightiest, 1
the mightiest julius, 1
mightiest julius fell, 1
the graves stood, 1
graves stood tenantless, 1
stood tenantless and, 1
tenantless and the, 1
and the sheeted, 1
the sheeted dead, 1
did squeak and, 1
squeak and gibber, 1
and gibber in, 1
gibber in the, 1
in the roman, 1
the roman streets, 1
as stars with, 1
stars with trains, 1
with trains of, 1
trains of fire, 1
of fire and, 1
fire and dews, 1
and dews of, 1
dews of blood, 1
disasters in the, 1
in the sun, 1
sun and the, 1
and the moist, 1
the moist star, 1
upon whose influence, 1
whose influence neptune, 1
influence neptune s, 1
neptune s empire, 1
s empire stands, 1
was sick almost, 1
